"","yearly_id","WR1","WR2","WR3","WR4","RB1","RB2","TE1","TE2"
"3155","2019_00-0034272",18.0555555555556,44.6700507614213,50.3337783711616,100,47.1331389698737,43.5483870967742,50.0558659217877,39.7849462365591
"3156","2019_00-0034273",13.0434782608696,6.08695652173913,48.5148514851485,100,39.1442155309033,14.7540983606557,48.2105263157895,7.18232044198895
"3157","2019_00-0034281",100,100,100,100,100,100,100,100
"3158","2019_00-0034286",20.1388888888889,5.79150579150579,34.3544857768052,0,25.4014598540146,9.56719817767654,23.3986928104575,8.40840840840841
"3159","2019_00-0034289",0,3.84615384615385,33.3333333333333,0,20.6896551724138,0,32.3529411764706,3.7037037037037
"3160","2019_00-0034297",51.1627906976744,11.377245508982,13.5842880523732,0,12.5138427464009,35.2941176470588,13.7878787878788,15.5223880597015
"3161","2019_00-0034301",51.8518518518518,24.2753623188406,27.9620853080569,0,26.9746646795827,33.3333333333333,27.1714922048998,27.8985507246377
"3162","2019_00-0034309",0,8.41121495327103,91.6666666666667,100,35.5769230769231,5.63380281690141,38.6363636363636,11.2676056338028
"3163","2019_00-0034317",100,7.69230769230769,10.8108108108108,0,10.2564102564103,16.6666666666667,10.8695652173913,25
"3164","2019_00-0034319",57.6923076923077,15.929203539823,0.867052023121387,0,6.92167577413479,32.6530612244898,1.0840108401084,21.8340611353712
"3165","2019_00-0034331",33.3333333333333,46.7391304347826,48.8013698630137,37.5,48.2089552238806,75,49.1610738255034,41.3793103448276
"3166","2019_00-0034339",0,0,81.6872427983539,100,71.0482529118136,6.45161290322581,78.6852589641434,0
"3167","2019_00-0034342",93.5064935064935,96.2328767123288,97.8947368421053,100,97,100,98.0113636363636,95.6349206349206
"3168","2019_00-0034343",80,47.7064220183486,54.0084388185654,0,54.7692307692308,26.6666666666667,50.3846153846154,52.5
"3169","2019_00-0034345",100,99.6402877697842,98.88,100,99.0086741016109,100,99.0344827586207,99.5145631067961
"3170","2019_00-0034346",100,100,100,0,100,100,100,100
"3171","2019_00-0034347",100,100,100,100,100,100,100,100
"3172","2019_00-0034348",81.0606060606061,91.5014164305949,96.0600375234522,0,93.6488169364882,85.972850678733,94.9025487256372,89.6057347670251
"3173","2019_00-0034349",69.2307692307692,60.8938547486033,45.1612903225806,0,50.9090909090909,65.0406504065041,49.7191011235955,62.2047244094488
"3174","2019_00-0034351",100,92.9032258064516,34.5588235294118,0,72.6755218216319,48.8888888888889,33.7899543378995,96.5058236272879
"3175","2019_00-0034352",100,99.5,92.6335174953959,100,94.1944847605225,98.75,93.0743243243243,100
"3176","2019_00-0034353",0,21.1711711711712,82.0728291316527,94.4444444444444,78.1287970838396,25,75.7841907151819,21.2962962962963
"3177","2019_00-0034358",66.6666666666667,44,24.6861924686192,0,26.5625,36.3636363636364,25.1028806584362,50
"3178","2019_00-0034364",100,92.0918367346939,42.1450151057402,0,62.3800383877159,35.1351351351351,41.9402985074627,95.8549222797927
"3179","2019_00-0034365",44.3181818181818,25.1851851851852,25.6953642384106,0,28.7461773700306,14.3939393939394,23.838630806846,31.1355311355311
"3180","2019_00-0034366",0,6.84931506849315,85.3092783505155,100,59.3856655290102,0,83.375314861461,7.2463768115942
"3181","2019_00-0034367",11.6883116883117,30.8219178082192,35.6390977443609,33.3333333333333,29.6,97.7777777777778,39.3465909090909,19.047619047619
"3182","2019_00-0034370",4.54545454545455,37.1104815864023,97.7485928705441,0,73.972602739726,28.9592760180996,85.1574212893553,28.673835125448
"3183","2019_00-0034378",24.2424242424242,18.018018018018,37.1517027863777,28.5714285714286,34.9246231155779,14.8648648648649,33.0601092896175,23.5294117647059
"3184","2019_00-0034380",58.4905660377358,41.5584415584416,49.4176372712146,26.7441860465116,46.1797752808989,100,49.5854063018242,41.5584415584416
"3185","2019_00-0034383",86.9565217391304,21.9269102990033,1.03896103896104,0,9.57661290322581,16.5354330708661,1.6374269005848,32.4444444444444
"3186","2019_00-0034386",41.6666666666667,16.9082125603865,26.7256637168142,36.8421052631579,24.2782152230971,43.4782608695652,26.2206148282098,23.4126984126984
"3187","2019_00-0034390",94.7368421052632,81.4432989690722,87.2131147540984,80,86.9674185463659,76,85.7142857142857,86.046511627907
"3188","2019_00-0034392",78.7878787878788,80.5194805194805,88.3720930232558,0,88.1081081081081,79.4520547945205,87.4203821656051,77.6119402985075
"3189","2019_00-0034393",45.3488372093023,19.3415637860082,18.1333333333333,0,25.2115059221658,8.47457627118644,15.6818181818182,24.390243902439
"3190","2019_00-0034399",86.9565217391304,79.1666666666667,75.9090909090909,12.5,72.310405643739,93.3823529411765,75.7211538461538,73.4806629834254
"3191","2019_00-0034400",27.3972602739726,24.4635193133047,17.4774774774775,0,19.0191387559809,46.875,19.104991394148,21.3592233009709
"3192","2019_00-0034406",14.5833333333333,38.7096774193548,41.7699115044248,50,39.3939393939394,45.4545454545455,41.2280701754386,39.4557823129252
"3193","2019_00-0034411",6.84931506849315,14.2405063291139,60.1928374655647,82.6086956521739,51.5119916579771,14.2131979695431,53.9906103286385,11.5555555555556
"3194","2019_00-0034412",100,84,85.7142857142857,0,86.3945578231292,85.1851851851852,86.9918699186992,81.8181818181818
"3195","2019_00-0034414",42.4242424242424,27.8026905829596,18.9655172413793,0,23.728813559322,87.1794871794872,26.7676767676768,26.5588914549654
"3196","2019_00-0034417",77.2727272727273,66.4383561643836,54.0540540540541,0,66.8341708542714,16.6666666666667,52.5,65.7534246575342
"3197","2019_00-0034418",20,10,29.2452830188679,0,25.2830188679245,14.8148148148148,27.3127753303965,13.7931034482759
"3198","2019_00-0034419",0,0,100,0,67.4418604651163,14.2857142857143,82.8571428571429,0
"3199","2019_00-0034420",81.25,44.8275862068966,4.56026058631922,0,20.4494382022472,4.34782608695652,4.45859872611465,48.5294117647059
"3200","2019_00-0034426",29.4117647058824,36.9369369369369,46.6386554621849,69.4444444444444,47.0230862697448,41.4772727272727,45.7967377666248,36.1111111111111
"3201","2019_00-0034432",83.3333333333333,71.4285714285714,31.5412186379928,0,41.2087912087912,50,31.6901408450704,73.972602739726
"3202","2019_00-0034433",64.6153846153846,30.9859154929577,1.75438596491228,0,0,72.0238095238095,13.2796780684105,29.3706293706294
"3203","2019_00-0034436",33.3333333333333,33.0097087378641,49.7206703910614,0,47.7832512315271,32.9268292682927,43.9688715953307,35.7142857142857
"3204","2019_00-0034439",100,65.8536585365854,59.3984962406015,0,64.3564356435644,51.1278195488722,74.4755244755245,59.0909090909091
"3205","2019_00-0034440",26.9230769230769,26.9662921348315,16.9540229885057,0,16.9712793733681,32.4675324675325,19.2019950124688,21.6666666666667
"3206","2019_00-0034445",50,43.5294117647059,61.9565217391304,0,58.8372093023256,51.6129032258064,60.9819121447028,43.0555555555556
"3207","2019_00-0034449",100,6.41025641025641,7.36434108527132,0,7.12530712530713,50,7.56972111553785,10.4294478527607
"3208","2019_00-0034457",100,0,0,0,100,0,0,0
"3209","2019_00-0034487",33.3333333333333,19.831223628692,29.9418604651163,29.7546012269939,27.2519954389966,39.3939393939394,29.0322580645161,19.4805194805195
