season,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
2021,Nick Bellore,6515,FB,SEA,1,0,0,,0,0,29,,59.9,60,,60,,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2021,Mario Addison,6558,ED,BUF,17,6,0,100,1,2,4,64.6,63.4,50.3,65.6,57.9,57.1,1,27,0,10,24.1,7,0,3,100,2,7,11,0,16,481,470,0,3,460,7,0,11,319,146,0,18,16,2,35,0,16,14,8
2021,Stephon Gilmore,7016,CB,CAR,8,0,0,68.2,0,0,5,79.4,77.1,27.9,,68.1,85.3,0,0,2,23,0,0,0,2,80.7,15,0,10,255,172,304,1,0,0,1,0,0,303,0,132,38,6,15,22,0,2,155,39,10.3
2021,Fletcher Cox,7018,DI,PHI,16,10,0,,1,2,24,67.5,66.7,38.3,74.1,53.6,70.6,6,31,0,,3.1,1,0,5,0,0,4,4,0,0,747,743,17,455,15,256,0,4,462,285,0,20,21,0,41,0,0,0,
2021,Michael Brockers,7020,DI,DET,16,19,0,,0,0,11,59.2,40.6,63.7,48,42.7,34.6,0,5,0,,12.5,7,0,2,0,0,1,0,0,2,622,622,39,371,82,130,0,0,305,315,0,21,30,0,6,0,0,0,
2021,Bruce Irvin,7021,ED,CHI,6,3,1,100,0,0,6,64.9,48.1,48.9,55.4,47.2,55.2,2,3,0,7,10,1,0,1,95.8,1,0,3,0,4,173,170,0,1,167,2,0,3,85,84,0,4,6,1,5,0,7,6,7
2021,Dre Kirkpatrick,7023,CB,SF,3,0,0,71.4,0,0,28,50.3,50.7,79.1,,53,57.4,0,0,0,28,12.5,1,0,1,144,5,0,8,86,45,95,1,0,0,1,0,0,94,0,50,0,3,7,7,0,1,72,18,14.4
2021,Melvin Ingram III,7024,ED,KC,15,5,1,100,0,1,16,45.1,79.7,61.1,74.1,83.5,45.1,10,29,0,13,17.9,5,0,3,105.8,5,3,38,0,36,590,542,0,0,542,0,0,48,371,183,10,19,18,5,42,0,47,27,9.4
2021,Chandler Jones,7027,ED,ARZ,15,7,4,85.7,1,6,1,41.7,70.4,50.8,89.8,41.9,46.4,15,21,0,18,19.4,7,0,5,116.1,6,11,4,1,45,823,811,0,1,803,7,0,12,480,298,7,26,22,7,47,0,83,58,13.8
2021,Dont'a Hightower,7030,LB,NE,15,17,1,94.4,0,0,19,38.8,53.7,65.4,58.7,69,58.8,2,15,0,23,13.3,10,0,1,111.1,34,2,420,1,242,634,196,0,0,196,0,0,438,109,283,17,22,48,36,19,1,304,176,8.9
