"","yearly_id","down1","down2","down3","down4"
"1770","2017_00-0033948",47.7611940298507,47.3333333333333,44.1025641025641,54.5454545454545
"1771","2017_00-0033950",41.4634146341463,40.5228758169935,22.6415094339623,33.3333333333333
"1772","2017_00-0033951",33.6787564766839,37.987012987013,29.7560975609756,23.5294117647059
"1773","2017_00-0033958",35.2459016393443,29.1666666666667,26.3157894736842,66.6666666666667
"1774","2017_00-0033960",49.5867768595041,52,48.4848484848485,100
"1775","2017_00-0033965",100,100,100,0
"1776","2017_00-0033968",8.69565217391304,10.958904109589,10.6382978723404,0
"1777","2018_00-0019596",98.3108108108108,98.1220657276995,97.5609756097561,88.2352941176471
"1778","2018_00-0020531",98.5507246376812,98.6159169550173,97.7272727272727,100
"1779","2018_00-0021206",100,100,100,100
"1780","2018_00-0021547",28.7378640776699,29.5580110497238,76.7241379310345,75
"1781","2018_00-0022531",81.9521178637201,81.360201511335,77.6371308016878,66.6666666666667
"1782","2018_00-0022787",4.54545454545455,4.54545454545455,6.97674418604651,66.6666666666667
"1783","2018_00-0022803",98.4234234234234,98.2089552238806,97.7064220183486,100
"1784","2018_00-0022921",90.1913875598086,93.968253968254,96.2790697674419,86.6666666666667
"1785","2018_00-0022924",97.7083333333333,96.9014084507042,97.0731707317073,92.3076923076923
"1786","2018_00-0022942",97.2815533980583,96.9613259668508,96.9827586206897,91.6666666666667
"1787","2018_00-0022943",56.0975609756098,53.3101045296167,43.6046511627907,57.1428571428571
"1788","2018_00-0023436",96.6442953020134,96.0869565217391,97.3154362416107,100
"1789","2018_00-0023459",95.2182952182952,94.7368421052632,92.7038626609442,85.7142857142857
"1790","2018_00-0023500",49.4444444444444,45.3183520599251,18.8888888888889,36.3636363636364
"1791","2018_00-0023564",37.1308016877637,37.3563218390805,53.1531531531532,40
"1792","2018_00-0023645",100,100,95.8333333333333,66.6666666666667
"1793","2018_00-0023662",18.5185185185185,16.6666666666667,15.625,60
"1794","2018_00-0023682",78.2142857142857,77.5280898876404,75,62.5
"1795","2018_00-0024221",54.4334975369458,52.0634920634921,33.6585365853659,42.8571428571429
"1796","2018_00-0024243",23.9085239085239,18.2825484764543,6.43776824034335,14.2857142857143
"1797","2018_00-0024270",95.3333333333333,95.2267303102625,93.9130434782609,92.8571428571429
"1798","2018_00-0024334",42.1686746987952,50,50.561797752809,50
"1799","2018_00-0024389",46.875,50,86.6666666666667,50
"1800","2018_00-0025394",63.0872483221477,48.8571428571429,10.4803493449782,17.6470588235294
"1801","2018_00-0025396",60.9137055837564,63.2,65.7894736842105,20
"1802","2018_00-0025415",95.2191235059761,96,94.392523364486,92.3076923076923
"1803","2018_00-0025418",74.9063670411985,76.2430939226519,78.7234042553192,88.8888888888889
"1804","2018_00-0025446",97.741273100616,96.8571428571428,96.9387755102041,95
"1805","2018_00-0025473",98.5294117647059,98.6263736263736,97.5708502024291,100
"1806","2018_00-0025512",90.9090909090909,92,91.044776119403,100
"1807","2018_00-0025900",97.4554707379135,96.7272727272727,96.0264900662252,94.1176470588235
"1808","2018_00-0026035",74.2857142857143,81.0526315789474,88.0208333333333,75
"1809","2018_00-0026143",99.1786447638604,99.1071428571429,98.6238532110092,90
"1810","2018_00-0026153",7.2289156626506,10.2941176470588,8.88888888888889,0
"1811","2018_00-0026158",95.6,95.6043956043956,96.0629921259843,100
"1812","2018_00-0026166",99.7275204359673,99.6732026143791,100,100
"1813","2018_00-0026189",51.1520737327189,53.356890459364,56.875,25
"1814","2018_00-0026197",17.3913043478261,20,33.3333333333333,66.6666666666667
"1815","2018_00-0026205",85.7707509881423,83.9378238341969,82.3529411764706,84.6153846153846
"1816","2018_00-0026213",16.2790697674419,20.5882352941176,12.9032258064516,50
"1817","2018_00-0026275",100,100,100,100
"1818","2018_00-0026293",2.76497695852535,3.28947368421053,2.40963855421687,0
"1819","2018_00-0026300",87.7551020408163,82.7160493827161,81.8181818181818,100
"1820","2018_00-0026327",97,96.18138424821,95.2173913043478,92.8571428571429
"1821","2018_00-0026345",72.5806451612903,71.0982658959538,74.7572815533981,33.3333333333333
"1822","2018_00-0026498",97.6851851851852,98.2456140350877,97.7064220183486,81.25
"1823","2018_00-0026500",100,100,100,100
"1824","2018_00-0026544",53.5087719298246,58.1395348837209,57.1428571428571,100
"1825","2018_00-0026561",100,100,100,100
"1826","2018_00-0026625",7.8740157480315,8.24742268041237,10.3448275862069,28.5714285714286
"1827","2018_00-0026784",33.7301587301587,31.7073170731707,34.375,0
"1828","2018_00-0026814",95.9223300970874,94.7214076246334,96.9543147208122,100
"1829","2018_00-0026839",99.7304582210243,99.2957746478873,98.989898989899,100
"1830","2018_00-0026898",55.1020408163265,66.6666666666667,73.0769230769231,0
"1831","2018_00-0026901",50,50,51.5151515151515,0
"1832","2018_00-0026982",79.2828685258964,77.2727272727273,77.7777777777778,80
"1833","2018_00-0026983",7.27699530516432,7.88643533123028,10.1123595505618,7.69230769230769
"1834","2018_00-0026986",73.109243697479,73.9010989010989,80.5668016194332,73.6842105263158
"1835","2018_00-0026997",99.7946611909651,99.7023809523809,99.5412844036697,100
"1836","2018_00-0027025",96.7816091954023,96.3815789473684,96.7391304347826,100
"1837","2018_00-0027027",56.6666666666667,62.7906976744186,68.9655172413793,100
"1838","2018_00-0027029",53.5897435897436,54.0268456375839,51.5151515151515,54.5454545454545
"1839","2018_00-0027078",74.0112994350282,71.1111111111111,70.8333333333333,80
"1840","2018_00-0027139",34.5454545454545,25.4658385093168,12.0689655172414,33.3333333333333
"1841","2018_00-0027150",89.7058823529412,92.2388059701493,94.7368421052632,93.3333333333333
"1842","2018_00-0027215",48.3660130718954,34.185303514377,15.1219512195122,29.4117647058824
"1843","2018_00-0027247",0,0,0,50
"1844","2018_00-0027282",62.5925925925926,59.6858638743455,60.3305785123967,76.9230769230769
"1845","2018_00-0027297",23.0769230769231,34.0909090909091,40.7407407407407,0
"1846","2018_00-0027325",34.2592592592593,23.3918128654971,5.96330275229358,6.25
"1847","2018_00-0027531",35.5555555555556,34.0425531914894,28.494623655914,27.2727272727273
"1848","2018_00-0027607",95.1289398280802,94.6768060836502,94.9152542372881,100
"1849","2018_00-0027609",100,100,100,0
"1850","2018_00-0027648",98,97.3747016706444,96.5217391304348,92.8571428571429
"1851","2018_00-0027656",91.3725490196078,93.1318681318681,93.2038834951456,90.9090909090909
"1852","2018_00-0027658",86.1111111111111,88,91.8032786885246,100
"1853","2018_00-0027667",97.0588235294118,95.3608247422681,95.5555555555556,100
"1854","2018_00-0027674",87.3303167420815,86.7816091954023,88.5714285714286,71.4285714285714
"1855","2018_00-0027675",62.6728110599078,71.7514124293785,63.768115942029,30
"1856","2018_00-0027685",89.2561983471074,86.5921787709497,88.6363636363636,91.6666666666667
"1857","2018_00-0027688",56.0975609756098,53.7313432835821,47.6190476190476,0
"1858","2018_00-0027691",7.2289156626506,11.1111111111111,4.8780487804878,25
"1859","2018_00-0027694",81.3664596273292,83.3333333333333,80,71.4285714285714
"1860","2018_00-0027696",72.3492723492724,72.5761772853186,78.5407725321888,85.7142857142857
"1861","2018_00-0027768",31.6239316239316,34.9462365591398,35.9649122807018,40
"1862","2018_00-0027778",64.3835616438356,66.1016949152542,60.9756097560976,100
"1863","2018_00-0027793",95.5654101995565,97.8978978978979,96.2962962962963,100
"1864","2018_00-0027854",88.8888888888889,92.156862745098,96.875,66.6666666666667
"1865","2018_00-0027857",95.8448753462604,97.4910394265233,97.2677595628415,100
"1866","2018_00-0027859",94.0451745379877,92.9411764705882,94.0092165898618,91.6666666666667
"1867","2018_00-0027869",86.1224489795918,86.9565217391304,88.6178861788618,83.3333333333333
"1868","2018_00-0027870",98.75,98.8732394366197,98.5365853658537,100
"1869","2018_00-0027873",67.7053824362606,57.1428571428571,22.0338983050847,18.1818181818182
"1870","2018_00-0027874",74.0740740740741,76.3157894736842,85.2272727272727,71.4285714285714
"1871","2018_00-0027875",84.3230403800475,81.4696485623003,83.3333333333333,80
"1872","2018_00-0027891",57.9476861167002,59.6730245231608,73.3644859813084,73.6842105263158
"1873","2018_00-0027925",44.7635135135135,32.6291079812207,13.0081300813008,17.6470588235294
"1874","2018_00-0027939",99.2805755395683,99.3220338983051,98.7730061349693,81.25
"1875","2018_00-0027942",77.1535580524345,78.8359788359788,82.051282051282,100
"1876","2018_00-0027944",76.3860369609856,72.6190476190476,87.1559633027523,75
"1877","2018_00-0027947",99.3039443155453,99.0769230769231,98.5714285714286,100
"1878","2018_00-0027948",40,41.875,45.6140350877193,50
"1879","2018_00-0027953",96.504854368932,95.8563535911602,96.1206896551724,91.6666666666667
"1880","2018_00-0027955",100,100,100,100
"1881","2018_00-0027963",100,100,100,100
"1882","2018_00-0027966",51.5923566878981,35.6521739130435,38.4057971014493,33.3333333333333
"1883","2018_00-0027973",91.3183279742765,90.7834101382488,91.2408759124088,53.3333333333333
"1884","2018_00-0027981",87.2017353579176,87.4626865671642,91.324200913242,95.2380952380952
"1885","2018_00-0027985",36.1746361746362,31.0249307479224,15.0214592274678,14.2857142857143
"1886","2018_00-0027986",69.4312796208531,71.2025316455696,72.1649484536082,88.8888888888889
"1887","2018_00-0027996",42.4157303370786,43.1451612903226,50.3649635036496,50
"1888","2018_00-0028001",100,100,100,100
"1889","2018_00-0028002",71.3178294573643,77.4038461538462,91.9117647058823,63.6363636363636
"1890","2018_00-0028011",11.2359550561798,11.1111111111111,0.934579439252336,20
"1891","2018_00-0028030",58.9830508474576,59.4202898550725,66.40625,55.5555555555556
"1892","2018_00-0028039",97.4712643678161,97.196261682243,97.1698113207547,100
"1893","2018_00-0028042",58.8235294117647,55.1724137931034,17.6991150442478,38.4615384615385
"1894","2018_00-0028063",0,4.76190476190476,0,0
"1895","2018_00-0028074",7.69230769230769,7.69230769230769,6.63716814159292,11.1111111111111
"1896","2018_00-0028076",92.5343811394892,92.6136363636364,91.7874396135266,87.5
"1897","2018_00-0028083",24.3542435424354,24.5179063360882,69.6682464454976,46.1538461538462
"1898","2018_00-0028087",50.6787330316742,56.7398119122257,88.0530973451327,76.9230769230769
"1899","2018_00-0028091",62.962962962963,72.7272727272727,76.4705882352941,0
"1900","2018_00-0028093",30.7262569832402,26.9230769230769,13.7931034482759,25
"1901","2018_00-0028101",87.3684210526316,84.1269841269841,83.6734693877551,50
"1902","2018_00-0028110",91.4414414414414,91.5032679738562,90.1960784313726,100
"1903","2018_00-0028112",57.9387186629526,60.7017543859649,50.8108108108108,25
"1904","2018_00-0028116",26.5151515151515,25.4355400696864,39.3617021276596,21.0526315789474
"1905","2018_00-0028118",57.0247933884297,65,66.6666666666667,50
"1906","2018_00-0028129",95.3959484346225,95.4659949622166,96.2025316455696,92.5925925925926
"1907","2018_00-0028142",76.6990291262136,75.6906077348066,18.9655172413793,16.6666666666667
"1908","2018_00-0028152",90.4761904761905,93.3333333333333,100,100
"1909","2018_00-0028177",95.2191235059761,94.2857142857143,94.392523364486,92.3076923076923
"1910","2018_00-0028237",69.5945945945946,75.3521126760563,87.3983739837398,82.3529411764706
"1911","2018_00-0028240",75.25,77.602523659306,81.8627450980392,75
"1912","2018_00-0028263",29.9465240641711,33.7883959044369,39.1089108910891,21.0526315789474
"1913","2018_00-0028292",14.5454545454545,11.1475409836066,4.16666666666667,6.25
"1914","2018_00-0028434",82.9508196721311,86.1224489795918,92,100
"1915","2018_00-0028497",32.9341317365269,36.3636363636364,37.1428571428571,75
"1916","2018_00-0028581",18.8861985472155,14.5962732919255,4.83091787439614,23.0769230769231
"1917","2018_00-0028738",81.0169491525424,79.0909090909091,79.8561151079137,76.9230769230769
"1918","2018_00-0028825",65.0793650793651,66,77.7777777777778,100
"1919","2018_00-0028903",34.46088794926,26.8882175226586,12.3152709359606,16.6666666666667
"1920","2018_00-0028986",100,100,100,95.8333333333333
"1921","2018_00-0029000",53.9499036608863,66.2531017369727,84.4357976653696,52
"1922","2018_00-0029010",90.2912621359223,93.2584269662921,95.5223880597015,87.5
"1923","2018_00-0029068",12.6794258373206,5.3968253968254,1.86046511627907,6.66666666666667
"1924","2018_00-0029091",6.17283950617284,7.40740740740741,7.5,100
"1925","2018_00-0029123",0,0,0,100
"1926","2018_00-0029129",13.2352941176471,10.2040816326531,22.8571428571429,50
"1927","2018_00-0029137",89.9103139013453,87.5,96.2962962962963,95.2380952380952
"1928","2018_00-0029141",36.968085106383,33.955223880597,11.3207547169811,12.5
"1929","2018_00-0029144",90.5236907730673,89.5622895622896,90.4040404040404,94.1176470588235
"1930","2018_00-0029146",92.3529411764706,93.7282229965157,94.0886699507389,100
"1931","2018_00-0029159",65.4761904761905,71.875,90.4761904761905,75
"1932","2018_00-0029164",99.7830802603037,99.7014925373134,100,100
"1933","2018_00-0029205",26.6666666666667,30.4347826086957,43.75,50
"1934","2018_00-0029239",13.0081300813008,6.89655172413793,5.45454545454545,0
"1935","2018_00-0029253",100,100,100,100
