"","yearly_id","WR1","WR2","WR3","WR4"
"190","2016_00-0027953",100,100,100,100
"191","2016_00-0027955",98.2142857142857,98.7046632124352,97.9245283018868,100
"192","2016_00-0027960",95.3846153846154,98.7538940809969,98.0830670926518,0
"193","2016_00-0027963",83.3333333333333,94.0828402366864,95.4648526077097,95.8456973293769
"194","2016_00-0027966",40.625,51.1210762331839,42.3622047244094,29.6296296296296
"195","2016_00-0027973",100,100,99.7237569060773,100
"196","2016_00-0027974",100,96.1538461538462,97.7973568281938,0
"197","2016_00-0027981",93.75,94.9074074074074,92.9467084639498,50
"198","2016_00-0027984",88.1720430107527,91.1764705882353,84.3137254901961,86.2068965517241
"199","2016_00-0027985",100,98.3193277310924,75.5593803786575,75
"200","2016_00-0027986",82.1428571428571,84.2639593908629,69.833729216152,100
"201","2016_00-0027987",66.6666666666667,81.0650887573965,83.9002267573696,83.9762611275964
"202","2016_00-0027994",0,0,39.2857142857143,0
"203","2016_00-0027996",100,88.8888888888889,63,0
"204","2016_00-0028001",100,100,99.8405103668262,100
"205","2016_00-0028002",0,45.8823529411765,93.6363636363636,81.5315315315315
"206","2016_00-0028009",72.8915662650602,80,86.8035190615836,100
"207","2016_00-0028011",0,9.09090909090909,0,0
"208","2016_00-0028012",50,7.59493670886076,6.02409638554217,0
"209","2016_00-0028023",46.6666666666667,38.8888888888889,69.3548387096774,0
"210","2016_00-0028030",97.5609756097561,98.6899563318777,93.5042735042735,96.4285714285714
"211","2016_00-0028039",90.9090909090909,98.3783783783784,99.2063492063492,100
"212","2016_00-0028040",100,72.7272727272727,38.3838383838384,0
"213","2016_00-0028042",81.8181818181818,69.5652173913043,22.6027397260274,0
"214","2016_00-0028052",0,34.5132743362832,40.1215805471125,100
"215","2016_00-0028060",50,47.4358974358974,49.4652406417112,55.5555555555556
"216","2016_00-0028064",41.6666666666667,28.9940828402367,41.4965986394558,75.3709198813056
"217","2016_00-0028067",76.9230769230769,72.5925925925926,73.2142857142857,100
"218","2016_00-0028074",31.9148936170213,29.042904290429,2.39130434782609,0
"219","2016_00-0028076",98.2758620689655,98.8950276243094,99.6383363471971,100
"220","2016_00-0028083",25,54.2553191489362,45.3804347826087,66.6666666666667
"221","2016_00-0028087",0,39.1752577319588,39.0163934426229,0
"222","2016_00-0028090",0,9.09090909090909,0,0
"223","2016_00-0028091",0,1.78571428571429,96.8379446640316,0
"224","2016_00-0028093",100,31.7757009345794,0.840336134453782,0
"225","2016_00-0028101",100,96.6666666666667,94.2857142857143,0
"226","2016_00-0028110",87.5,94.4723618090452,92.4953095684803,100
"227","2016_00-0028112",100,87.5,87.3015873015873,66.6666666666667
"228","2016_00-0028114",0,18.4210526315789,4.01854714064915,0
"229","2016_00-0028116",41.6666666666667,34.8837209302326,26.078431372549,37.5
"230","2016_00-0028118",94.5454545454545,95.8128078817734,97.8494623655914,100
"231","2016_00-0028121",4.34782608695652,1.85185185185185,4.97237569060773,0
"232","2016_00-0028129",100,100,100,100
"233","2016_00-0028142",100,75.8474576271186,55.860349127182,22
"234","2016_00-0028152",83.3333333333333,85.3932584269663,88.1632653061225,87.5
"235","2016_00-0028198",43.75,33.3333333333333,37.1473354231975,0
"236","2016_00-0028202",14.2857142857143,41.8181818181818,57.7405857740586,0
"237","2016_00-0028237",44.7761194029851,72.4867724867725,90.2573529411765,100
"238","2016_00-0028240",18.1818181818182,23.6842105263158,38.5964912280702,28.5714285714286
"239","2016_00-0028249",0,15.625,30.8641975308642,3.63636363636364
"240","2016_00-0028274",100,100,100,100
"241","2016_00-0028409",0,11.6279069767442,9.8159509202454,0
"242","2016_00-0028411",63.4408602150538,88.6554621848739,98.202614379085,89.6551724137931
"243","2016_00-0028434",0,73.1543624161074,98.2481751824818,100
