"","yearly_id","cluster_xgboost"
"442","2018_00-0034279","Cluster 6"
"443","2018_00-0034286","Cluster Other"
"444","2018_00-0034317","Cluster 7"
"445","2018_00-0034339","Cluster 7"
"446","2018_00-0034348","Cluster 5"
"447","2018_00-0034353","Cluster 7"
"448","2018_00-0034366","Cluster 7"
"449","2018_00-0034370","Cluster 7"
"450","2018_00-0034386","Cluster Other"
"451","2018_00-0034407","Cluster Other"
"452","2018_00-0034411","Cluster 6"
"453","2018_00-0034426","Cluster Other"
"454","2018_00-0034487","Cluster 7"
"455","2018_00-0034489","Cluster 6"
"456","2018_00-0034510","Cluster 5"
"457","2018_00-0034631","Cluster 5"
"458","2018_00-0034646","Cluster Other"
"459","2018_00-0034676","Cluster 5"
"460","2018_00-0034686","Cluster Other"
"461","2018_00-0034764","Cluster 5"
"462","2018_00-0034765","Cluster 3"
"463","2018_00-0034772","Cluster 5"
"464","2018_00-0034775","Cluster 3"
"465","2018_00-0034777","Cluster Other"
"466","2018_00-0034827","Cluster 3"
"467","2018_00-0034837","Cluster 7"
"468","2018_00-0034854","Cluster 6"
"469","2018_00-0034860","Cluster 3"
"470","2019_00-0022921","Cluster 7"
"471","2019_00-0025396","Cluster 5"
"472","2019_00-0026035","Cluster 7"
"473","2019_00-0026189","Cluster Other"
"474","2019_00-0026986","Cluster Other"
"475","2019_00-0027150","Cluster 3"
"476","2019_00-0027685","Cluster 3"
"477","2019_00-0027793","Cluster 6"
"478","2019_00-0027874","Cluster 6"
"479","2019_00-0027891","Cluster 7"
"480","2019_00-0027944","Cluster 3"
"481","2019_00-0028002","Cluster 7"
"482","2019_00-0028237","Cluster 6"
"483","2019_00-0028411","Cluster 6"
"484","2019_00-0029000","Cluster 7"
"485","2019_00-0029137","Cluster 5"
"486","2019_00-0029269","Cluster Other"
"487","2019_00-0029293","Cluster 3"
"488","2019_00-0029319","Cluster Other"
"489","2019_00-0029572","Cluster 7"
"490","2019_00-0029608","Cluster 3"
"491","2019_00-0029632","Cluster 7"
"492","2019_00-0029664","Cluster 3"
"493","2019_00-0030035","Cluster 3"
"494","2019_00-0030068","Cluster 6"
"495","2019_00-0030085","Cluster 3"
"496","2019_00-0030147","Cluster Other"
"497","2019_00-0030279","Cluster 3"
"498","2019_00-0030300","Cluster 6"
"499","2019_00-0030431","Cluster 3"
"500","2019_00-0030525","Cluster 6"
"501","2019_00-0030564","Cluster 3"
"502","2019_00-0030663","Cluster 7"
"503","2019_00-0030669","Cluster 7"
"504","2019_00-0030670","Cluster 6"
"505","2019_00-0030821","Cluster 7"
"506","2019_00-0031051","Cluster 3"
"507","2019_00-0031166","Cluster 6"
"508","2019_00-0031228","Cluster 5"
"509","2019_00-0031235","Cluster 3"
"510","2019_00-0031236","Cluster 5"
"511","2019_00-0031257","Cluster 5"
"512","2019_00-0031299","Cluster Other"
"513","2019_00-0031319","Cluster Other"
"514","2019_00-0031325","Cluster 3"
"515","2019_00-0031339","Cluster Other"
"516","2019_00-0031344","Cluster 6"
"517","2019_00-0031381","Cluster 3"
"518","2019_00-0031382","Cluster 3"
"519","2019_00-0031408","Cluster 5"
"520","2019_00-0031428","Cluster 3"
"521","2019_00-0031431","Cluster 6"
"522","2019_00-0031511","Cluster Other"
"523","2019_00-0031544","Cluster 3"
"524","2019_00-0031547","Cluster 5"
"525","2019_00-0031549","Cluster 5"
"526","2019_00-0031570","Cluster Other"
"527","2019_00-0031588","Cluster 3"
"528","2019_00-0031787","Cluster 6"
"529","2019_00-0031868","Cluster 7"
"530","2019_00-0031941","Cluster 7"
"531","2019_00-0031953","Cluster Other"
"532","2019_00-0031972","Cluster Other"
"533","2019_00-0032009","Cluster 7"
"534","2019_00-0032054","Cluster 5"
"535","2019_00-0032128","Cluster 5"
"536","2019_00-0032208","Cluster 5"
"537","2019_00-0032211","Cluster 3"
"538","2019_00-0032355","Cluster 7"
"539","2019_00-0032385","Cluster 3"
"540","2019_00-0032464","Cluster Other"
"541","2019_00-0032543","Cluster 7"
"542","2019_00-0032626","Cluster 7"
"543","2019_00-0032688","Cluster 5"
"544","2019_00-0032728","Cluster Other"
"545","2019_00-0032765","Cluster 3"
"546","2019_00-0032775","Cluster 5"
"547","2019_00-0032778","Cluster 6"
"548","2019_00-0032791","Cluster 6"
"549","2019_00-0032795","Cluster 6"
"550","2019_00-0032935","Cluster Other"
"551","2019_00-0032945","Cluster 5"
"552","2019_00-0032951","Cluster 6"
"553","2019_00-0032977","Cluster Other"
"554","2019_00-0032980","Cluster 5"
"555","2019_00-0033009","Cluster 3"
"556","2019_00-0033040","Cluster 3"
"557","2019_00-0033094","Cluster Other"
"558","2019_00-0033111","Cluster Other"
"559","2019_00-0033114","Cluster Other"
"560","2019_00-0033127","Cluster 3"
"561","2019_00-0033251","Cluster 3"
"562","2019_00-0033282","Cluster 5"
"563","2019_00-0033307","Cluster Other"
"564","2019_00-0033375","Cluster 5"
"565","2019_00-0033382","Cluster Other"
"566","2019_00-0033434","Cluster Other"
"567","2019_00-0033460","Cluster 5"
"568","2019_00-0033466","Cluster Other"
"569","2019_00-0033471","Cluster 6"
"570","2019_00-0033530","Cluster Other"
"571","2019_00-0033536","Cluster 5"
"572","2019_00-0033555","Cluster Other"
"573","2019_00-0033562","Cluster Other"
"574","2019_00-0033589","Cluster 6"
"575","2019_00-0033681","Cluster 6"
"576","2019_00-0033705","Cluster Other"
"577","2019_00-0033733","Cluster 7"
"578","2019_00-0033839","Cluster 7"
"579","2019_00-0033857","Cluster 3"
"580","2019_00-0033871","Cluster 3"
"581","2019_00-0033891","Cluster 6"
"582","2019_00-0033908","Cluster 7"
"583","2019_00-0033921","Cluster 3"
"584","2019_00-0033932","Cluster 3"
"585","2019_00-0033943","Cluster 6"
"586","2019_00-0034034","Cluster Other"
"587","2019_00-0034052","Cluster 6"
"588","2019_00-0034081","Cluster 6"
"589","2019_00-0034104","Cluster Other"
"590","2019_00-0034132","Cluster 6"
"591","2019_00-0034267","Cluster Other"
"592","2019_00-0034272","Cluster 6"
"593","2019_00-0034273","Cluster 6"
"594","2019_00-0034286","Cluster Other"
"595","2019_00-0034297","Cluster Other"
"596","2019_00-0034339","Cluster 7"
"597","2019_00-0034348","Cluster 3"
"598","2019_00-0034353","Cluster 7"
"599","2019_00-0034366","Cluster 7"
"600","2019_00-0034370","Cluster 7"
"601","2019_00-0034386","Cluster 6"
"602","2019_00-0034406","Cluster 6"
"603","2019_00-0034411","Cluster 7"
"604","2019_00-0034418","Cluster 6"
"605","2019_00-0034419","Cluster 7"
"606","2019_00-0034426","Cluster 6"
"607","2019_00-0034487","Cluster Other"
