"","yearly_id","cluster"
"440","2017_00-0030148","Cluster 10"
"441","2017_00-0031258","Cluster 7"
"442","2017_00-0031208","Cluster 7"
"443","2017_00-0032116","Cluster 12"
"444","2017_00-0033156","Cluster 11"
"445","2017_00-0033588","Cluster 7"
"446","2017_00-0029249","Cluster 11"
"447","2017_00-0029289","Cluster 1"
"448","2017_00-0032103","Cluster 4"
"449","2017_00-0032110","Cluster 1"
"450","2017_00-0032171","Cluster 1"
"451","2017_00-0032895","Cluster 4"
"452","2017_00-0025408","Cluster 9"
"453","2017_00-0030420","Cluster 6"
"454","2017_00-0031269","Cluster 6"
"455","2017_00-0032212","Cluster 2"
"456","2017_00-0032888","Cluster 9"
"457","2017_00-0031040","Cluster 11"
"458","2017_00-0031346","Cluster 10"
"459","2017_00-0031254","Cluster 8"
"460","2017_00-0032265","Cluster 12"
"461","2017_00-0032929","Cluster 7"
"462","2017_00-0033924","Cluster 8"
"463","2017_00-0033976","Cluster 12"
"464","2017_00-0029193","Cluster 11"
"465","2017_00-0032094","Cluster 3"
"466","2017_00-0033122","Cluster 7"
"467","2017_00-0033445","Cluster 4"
"468","2017_00-0027705","Cluster 2"
"469","2017_00-0027762","Cluster 9"
"470","2017_00-0028908","Cluster 2"
"471","2017_00-0030530","Cluster 9"
"472","2017_00-0031307","Cluster 3"
"473","2017_00-0031587","Cluster 2"
"474","2017_00-0033050","Cluster 6"
"475","2017_00-0032797","Cluster 3"
"476","2017_00-0033001","Cluster 5"
"477","2017_00-0033462","Cluster 2"
"478","2017_00-0033405","Cluster 2"
"479","2017_00-0023368","Cluster 11"
"480","2017_00-0026243","Cluster 7"
"481","2017_00-0027855","Cluster 12"
"482","2017_00-0029600","Cluster 11"
"483","2017_00-0031317","Cluster 7"
"484","2017_00-0031557","Cluster 8"
"485","2017_00-0033880","Cluster 7"
"486","2017_00-0033860","Cluster 8"
"487","2017_00-0033469","Cluster 8"
"488","2017_00-0033403","Cluster 7"
"489","2017_00-0030401","Cluster 4"
"490","2017_00-0032102","Cluster 4"
"491","2017_00-0031719","Cluster 1"
"492","2017_00-0031740","Cluster 5"
"493","2017_00-0033399","Cluster 1"
"494","2017_00-0022045","Cluster 2"
"495","2017_00-0027375","Cluster 3"
"496","2017_00-0027547","Cluster 3"
"497","2017_00-0027914","Cluster 9"
"498","2017_00-0029606","Cluster 9"
"499","2017_00-0030575","Cluster 6"
"500","2017_00-0031546","Cluster 6"
"501","2017_00-0031799","Cluster 2"
"502","2017_00-0032389","Cluster 5"
"503","2017_00-0032454","Cluster 5"
"504","2017_00-0024030","Cluster 12"
"505","2017_00-0025489","Cluster 11"
"506","2017_00-0027885","Cluster 10"
"507","2017_00-0027701","Cluster 11"
"508","2017_00-0031242","Cluster 10"
"509","2017_00-0031565","Cluster 11"
"510","2017_00-0032448","Cluster 7"
"511","2017_00-0033940","Cluster 8"
"512","2017_00-0033324","Cluster 7"
"513","2017_00-0029479","Cluster 5"
"514","2017_00-0031256","Cluster 4"
"515","2017_00-0031554","Cluster 4"
"516","2017_00-0032422","Cluster 3"
