"","gsis_id","offense_personnel","snap_count","team_snaps","snap_personnel_usage"
"456","00-0029293","1 RB, 1 TE, 3 WR",672,697,96.4131994261119
"457","00-0029293","1 RB, 2 TE, 2 WR",206,245,84.0816326530612
"458","00-0029293","1 RB, 3 TE, 1 WR",2,31,6.45161290322581
"459","00-0029293","1 RB, 4 TE, 0 WR",0,1,0
"460","00-0029316","0 RB, 0 TE, 5 WR",1,1,100
"461","00-0029316","0 RB, 1 TE, 4 WR",7,7,100
"462","00-0029316","0 RB, 2 TE, 3 WR",2,2,100
"463","00-0029316","1 RB, 0 TE, 4 WR",106,120,88.3333333333333
"464","00-0029316","1 RB, 1 TE, 3 WR",559,590,94.7457627118644
"465","00-0029316","1 RB, 2 TE, 2 WR",203,234,86.7521367521367
"466","00-0029316","1 RB, 3 TE, 1 WR",19,23,82.6086956521739
"467","00-0029316","2 RB, 0 TE, 3 WR",13,13,100
"468","00-0029316","2 RB, 1 TE, 2 WR",18,20,90
"469","00-0029316","2 RB, 2 TE, 1 WR",13,13,100
"470","00-0029413","0 RB, 1 TE, 4 WR",2,2,100
"471","00-0029413","0 RB, 2 TE, 3 WR",9,9,100
"472","00-0029413","1 RB, 0 TE, 4 WR",3,3,100
"473","00-0029413","1 RB, 1 TE, 3 WR",650,658,98.7841945288754
"474","00-0029413","1 RB, 2 TE, 2 WR",259,270,95.9259259259259
"475","00-0029413","1 RB, 3 TE, 1 WR",111,116,95.6896551724138
"476","00-0029413","2 RB, 1 TE, 2 WR",60,60,100
"477","00-0029413","2 RB, 2 TE, 1 WR",13,14,92.8571428571429
"478","00-0029419","1 RB, 0 TE, 4 WR",4,4,100
"479","00-0029419","1 RB, 1 TE, 3 WR",243,256,94.921875
"480","00-0029419","1 RB, 2 TE, 2 WR",104,113,92.0353982300885
"481","00-0029419","1 RB, 3 TE, 1 WR",6,7,85.7142857142857
"482","00-0029419","2 RB, 0 TE, 3 WR",5,5,100
"483","00-0029419","2 RB, 1 TE, 2 WR",4,5,80
"484","00-0029528","1 RB, 1 TE, 2 WR",1,1,100
"485","00-0029528","1 RB, 1 TE, 3 WR",453,479,94.5720250521921
"486","00-0029528","1 RB, 2 TE, 2 WR",202,225,89.7777777777778
"487","00-0029528","1 RB, 3 TE, 1 WR",62,64,96.875
"488","00-0029528","1 RB, 4 TE, 0 WR",5,5,100
"489","00-0029528","2 RB, 1 TE, 2 WR",11,11,100
"490","00-0029546","1 RB, 1 TE, 3 WR",51,90,56.6666666666667
"491","00-0029546","1 RB, 2 TE, 2 WR",21,43,48.8372093023256
"492","00-0029546","1 RB, 3 TE, 1 WR",1,5,20
"493","00-0029546","1 RB, 4 TE, 0 WR",0,2,0
"494","00-0029546","2 RB, 1 TE, 2 WR",0,1,0
"495","00-0029546","2 RB, 2 TE, 1 WR",2,2,100
"496","00-0029567","1 RB, 1 TE, 3 WR",44,44,100
"497","00-0029567","1 RB, 2 TE, 2 WR",20,20,100
"498","00-0029567","1 RB, 3 TE, 1 WR",2,2,100
"499","00-0029567","2 RB, 1 TE, 2 WR",1,1,100
"500","00-0029592","0 RB, 1 TE, 4 WR",33,33,100
"501","00-0029592","0 RB, 2 TE, 3 WR",5,5,100
"502","00-0029592","0 RB, 3 TE, 2 WR",1,1,100
"503","00-0029592","1 RB, 1 TE, 3 WR",519,533,97.3733583489681
"504","00-0029592","1 RB, 2 TE, 2 WR",104,104,100
"505","00-0029592","1 RB, 3 TE, 1 WR",29,29,100
"506","00-0029592","2 RB, 0 TE, 3 WR",82,82,100
"507","00-0029592","2 RB, 1 TE, 2 WR",259,260,99.6153846153846
"508","00-0029592","2 RB, 2 TE, 1 WR",168,171,98.2456140350877
"509","00-0029592","2 RB, 3 TE, 0 WR",6,6,100
"510","00-0029592","3 RB, 0 TE, 2 WR",1,1,100
"511","00-0029604","0 RB, 1 TE, 4 WR",73,73,100
"512","00-0029604","0 RB, 2 TE, 3 WR",4,4,100
"513","00-0029604","1 RB, 0 TE, 4 WR",17,17,100
"514","00-0029604","1 RB, 1 TE, 3 WR",448,448,100
"515","00-0029604","1 RB, 2 TE, 2 WR",152,152,100
"516","00-0029604","1 RB, 3 TE, 1 WR",9,9,100
"517","00-0029604","2 RB, 0 TE, 3 WR",36,36,100
"518","00-0029604","2 RB, 1 TE, 2 WR",203,203,100
"519","00-0029604","2 RB, 2 TE, 1 WR",85,85,100
"520","00-0029604","2 RB, 3 TE, 0 WR",1,1,100
"521","00-0029604","3 RB, 0 TE, 2 WR",1,1,100
"522","00-0029604","3 RB, 1 TE, 1 WR",2,2,100
"523","00-0029608","1 RB, 0 TE, 4 WR",6,8,75
"524","00-0029608","1 RB, 1 TE, 3 WR",315,391,80.5626598465473
"525","00-0029608","1 RB, 2 TE, 2 WR",21,146,14.3835616438356
"526","00-0029608","1 RB, 3 TE, 1 WR",0,37,0
"527","00-0029608","2 RB, 0 TE, 3 WR",0,1,0
"528","00-0029608","2 RB, 1 TE, 2 WR",4,51,7.84313725490196
"529","00-0029608","2 RB, 2 TE, 1 WR",0,4,0
"530","00-0029632","1 RB, 1 TE, 3 WR",239,241,99.1701244813278
"531","00-0029632","1 RB, 2 TE, 2 WR",0,46,0
"532","00-0029632","1 RB, 3 TE, 1 WR",0,6,0
"533","00-0029632","2 RB, 1 TE, 2 WR",1,178,0.561797752808989
"534","00-0029632","2 RB, 2 TE, 1 WR",0,35,0
"535","00-0029632","2 RB, 3 TE, 0 WR",0,5,0
"536","00-0029664","0 RB, 2 TE, 3 WR",0,1,0
"537","00-0029664","1 RB, 1 TE, 3 WR",167,601,27.7870216306156
"538","00-0029664","1 RB, 2 TE, 2 WR",56,161,34.7826086956522
"539","00-0029664","1 RB, 3 TE, 1 WR",1,38,2.63157894736842
"540","00-0029664","2 RB, 1 TE, 2 WR",1,36,2.77777777777778
"541","00-0029664","2 RB, 2 TE, 1 WR",0,26,0
"542","00-0029664","2 RB, 3 TE, 0 WR",0,1,0
"543","00-0029672","0 RB, 0 TE, 5 WR",3,3,100
"544","00-0029672","0 RB, 3 TE, 2 WR",1,1,100
"545","00-0029672","1 RB, 0 TE, 4 WR",11,11,100
"546","00-0029672","1 RB, 1 TE, 3 WR",535,581,92.0826161790017
"547","00-0029672","1 RB, 2 TE, 2 WR",102,106,96.2264150943396
"548","00-0029672","1 RB, 3 TE, 1 WR",11,18,61.1111111111111
"549","00-0029672","2 RB, 2 TE, 1 WR",4,4,100
"550","00-0029679","1 RB, 1 TE, 3 WR",65,89,73.0337078651685
"551","00-0029679","1 RB, 2 TE, 2 WR",25,29,86.2068965517241
"552","00-0029679","1 RB, 3 TE, 1 WR",9,12,75
"553","00-0029679","2 RB, 1 TE, 2 WR",1,1,100
"554","00-0029685","0 RB, 1 TE, 4 WR",1,2,50
"555","00-0029685","1 RB, 0 TE, 4 WR",49,54,90.7407407407407
"556","00-0029685","1 RB, 1 TE, 3 WR",435,452,96.2389380530973
"557","00-0029685","1 RB, 2 TE, 2 WR",166,166,100
"558","00-0029685","1 RB, 3 TE, 1 WR",7,7,100
"559","00-0029685","1 RB, 4 TE, 0 WR",1,1,100
"560","00-0029685","2 RB, 0 TE, 3 WR",12,13,92.3076923076923
"561","00-0029685","2 RB, 1 TE, 2 WR",10,14,71.4285714285714
"562","00-0029685","2 RB, 2 TE, 1 WR",5,6,83.3333333333333
"563","00-0029685","2 RB, 3 TE, 0 WR",4,4,100
"564","00-0029685","3 RB, 2 TE, 0 WR",1,1,100
"565","00-0029701","0 RB, 1 TE, 4 WR",2,2,100
"566","00-0029701","0 RB, 2 TE, 3 WR",9,9,100
"567","00-0029701","1 RB, 0 TE, 4 WR",3,3,100
"568","00-0029701","1 RB, 1 TE, 3 WR",658,658,100
