"","yearly_id","down","snap_count","team_snaps","snap_down_usage"
"210","2021_00-0029119",3,4,98,4.08163265306122
"211","2021_00-0029119",4,2,10,20
"212","2021_00-0029144",1,320,353,90.6515580736544
"213","2021_00-0029144",2,237,262,90.4580152671756
"214","2021_00-0029144",3,138,153,90.1960784313726
"215","2021_00-0029144",4,14,15,93.3333333333333
"216","2021_00-0029164",1,71,71,100
"217","2021_00-0029164",2,49,49,100
"218","2021_00-0029164",3,28,28,100
"219","2021_00-0029164",4,4,4,100
"220","2021_00-0029239",1,97,445,21.7977528089888
"221","2021_00-0029239",2,88,335,26.2686567164179
"222","2021_00-0029239",3,162,210,77.1428571428572
"223","2021_00-0029239",4,13,18,72.2222222222222
"224","2021_00-0029263",1,353,366,96.448087431694
"225","2021_00-0029263",2,267,277,96.3898916967509
"226","2021_00-0029263",3,168,172,97.6744186046512
"227","2021_00-0029263",4,11,11,100
"228","2021_00-0029269",1,39,351,11.1111111111111
"229","2021_00-0029269",2,11,265,4.15094339622642
"230","2021_00-0029269",3,2,153,1.30718954248366
"231","2021_00-0029269",4,0,19,0
"232","2021_00-0029293",1,397,448,88.6160714285714
"233","2021_00-0029293",2,312,337,92.5816023738872
"234","2021_00-0029293",3,202,214,94.392523364486
"235","2021_00-0029293",4,22,28,78.5714285714286
"236","2021_00-0029316",1,399,434,91.9354838709677
"237","2021_00-0029316",2,319,347,91.9308357348703
"238","2021_00-0029316",3,199,216,92.1296296296296
"239","2021_00-0029316",4,24,26,92.3076923076923
"240","2021_00-0029413",1,478,490,97.5510204081633
"241","2021_00-0029413",2,370,378,97.8835978835979
"242","2021_00-0029413",3,235,240,97.9166666666667
"243","2021_00-0029413",4,24,24,100
"244","2021_00-0029419",1,171,182,93.956043956044
"245","2021_00-0029419",2,122,129,94.5736434108527
"246","2021_00-0029419",3,67,72,93.0555555555556
"247","2021_00-0029419",4,6,7,85.7142857142857
"248","2021_00-0029528",1,321,343,93.5860058309038
"249","2021_00-0029528",2,238,254,93.7007874015748
"250","2021_00-0029528",3,154,167,92.2155688622755
"251","2021_00-0029528",4,21,21,100
"252","2021_00-0029546",1,30,61,49.1803278688525
"253","2021_00-0029546",2,25,48,52.0833333333333
"254","2021_00-0029546",3,18,30,60
"255","2021_00-0029546",4,2,4,50
